,unit,plant,company,mw,status,year,utype,fuel,fueltype,altfuel,sssmfr,boiltype,turbmfr,turbtype,genmfr,gentype,sflow,spress,stype,stemp,reheat1,reheat2,partctl,partmfr,so2ctl,fgdmfr,noxctl,noxmfr,ae,construct,cool,retire,city,state,country,area,subregion,postcode,parent,electype,bustype,compid,locationid,unitid,retirement_age,mw_from,mw_to,fuel_id,fueltype_adj,utype_adj,status_adj,current_age,year_adj,current_age_adj,retirement_age_adj,sim_lifetime,median_lifetime,age_rank,age_obs,age_percentile,retire_adj,retire_exp,retire_sim,lifetime_final,unique_id,em_fact,heat_rate,gen_eff,max_cap,max_em
0,HIMEJI CITY 1,HIMEJI CITY,HIMEJI CITY,1.20000004768,OPR,1990.0,ST,.,.,,,,MHI,SC,,,,18.0,SUBCR,245.0,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,Himeji-shi,Hyogo,JAPAN,ASIA,ASIA,,HIMEJI CITY,A,GOVT: REG,1010729,1018464,1119413,,0,400,.,.,ST,Operating,26.0,1990.0,26.0,,15.0,17.0,322.5,1005.0,32.089553833,2019.0,2007.0,2005.0,29.0,.,197.682693481,10621.8896484,0.95329272747,10512000.0,10021.0126953
1552,NAKORN SAWAN RICE MILL IC 1,NAKORN SAWAN RICE MILL,NAKORN SAWAN RICE MILL,0.20000000298,OPR,2007.0,IC,AGAS,.,,N/A,N/A,HONGYAN,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,.,Nakhon Sawan,THAILAND,ASIA,ASIA,,NAKORN SAWAN RICE MILL,A,COMM: AGRICULTURE,1043332,1092947,1194870,,0,400,AGAS+.,.,IC,Operating,9.0,2007.0,9.0,,1.0,0.0,9.0,10.0,90.0,2025.0,2007.0,2008.0,18.0,.,0.0,10212.0380859,0.0,1752000.0,0.0
1570,KREBET BARU SUGAR 2,KREBET BARU SUGAR,KREBET BARU SUGAR MILL,1.5,OPR,1975.0,ST,BAG,.,,,,PETER,,,,,16.0,SUBCR,327.0,,,,,,,,,A&WSMITH,,,,Malang,East Java,INDONESIA,ASIA,ASIA,,KREBET BARU SUGAR MILL,A,COMM: SUGAR MILL/PLANT,1011993,1021382,1126498,,0,400,BAG+.,.,ST,Operating,41.0,1975.0,41.0,,23.0,32.0,1124.5,1254.0,89.6730499268,2024.0,2007.0,1998.0,49.0,.,0.3,11125.2568359,0.00151525996625,13140000.0,19.9105167389
3125,AVILES SIDERGAS IC 04,AVILES SIDERGAS,HC ENERGIA,1.62000000477,OPR,2004.0,IC/H,BFG,.,COG,N/A,N/A,JENBACH,620JMSGSSL,LS,,,,.,,,,N/A,N/A,N/A,N/A,,,INGEMAS,INGEMAS,N/A,,Aviles,Asturias,SPAIN,EUROPE,EU,,EDP ENERGIAS DE PORTUGAL SA,U,UTIL: IOU,1003127,1041577,1193515,,0,400,BFG+.,.,IC,Operating,12.0,2004.0,12.0,,5.0,3.0,10.5,16.0,65.625,2022.0,2007.0,2009.0,18.0,.,604.7,10168.3330078,2.79155111313,14191200.0,39615.4609375
3489,CARR FARM IC 1,CARR FARM,FARMGEN LTD,0.800000011921,OPR,2010.0,IC/H,BGAS,.,,N/A,N/A,MWM,TCG2016CV16,,,,,.,,,,N/A,N/A,N/A,N/A,,,HAASE,HAASE,N/A,,Warton nr Preston,Lancashire,ENGLAND & WALES,EUROPE,EU,,GREENGEN GROUP,P,SVCS: PRIV PWR DEV/PROD,1040460,1085718,1232371,,0,400,BGAS+.,.,IC,Operating,6.0,2010.0,6.0,,27.0,34.0,501.5,1653.0,30.3387775421,2037.0,2044.0,2037.0,27.0,.,127.0,10180.7119141,0.586999475956,7008000.0,4113.69238281
5437,TSG THUNGSUNG GREEN 1,TSG THUNGSUNG GREEN,TPC POWER HOLDING PLC,9.5,OPR,2016.0,ST,BIOMASS,.,,BIB,,SHINKO,,SHINKO,,,,SUBCR,,,,,,,,,,BIB/LAWI,THAIPOLY,,,Thung Yai Tungsung,Nakhon Si Thammarat,THAILAND,ASIA,ASIA,,THAI POLYCONS PCL,P,SVCS: PRIV PWR DEV/PROD,1046459,1101050,1258209,,0,400,BIOMASS+.,.,ST,Operating,0.0,2016.0,0.0,,32.0,34.0,3.0,595.0,0.504201710224,2048.0,2050.0,2048.0,32.0,.,119.2,9648.93945312,0.522169709206,83220000.0,43454.9648438
6377,SILOPI PARK 3,SILOPI PARK,PARK ENERJI,135.0,PLN,,ST,BITUMEN,.,,,ACFB,,,,,,,SUBCR,,,,,,ACFB,N/A,,,,,NDT,,Kat Silopi,Sirnak,TURKEY,MIDEAST,MIDEAST,,CINER GRUBU,P,SVCS: PRIV PWR DEV/PROD,1026029,1071389,1230078,,0,400,BITUMEN+.,.,ST,Planned,,2020.0,,,35.0,34.0,,,,2055.0,2054.94921875,2055.94921875,35.0,.,187.7,10011.0009766,0.853095471859,1182599936.0,1008870.625
6385,GARALO IC 2,GARALO,MALI-FOLKECENTER (MFC),0.10000000149,OPR,2007.0,IC,BL,.,NONE,N/A,N/A,DEUTZ,,STAMFORD,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Garalo,Sikasso,MALI,AFRICA,AFRICA,,MALI-FOLKECENTER (MFC),P,SVCS: PRIV PWR DEV/PROD,1036540,1076100,1216093,,0,400,BL+.,.,IC,Operating,9.0,2007.0,9.0,,2.0,0.0,88.5,169.0,52.3668632507,2021.0,2007.0,2009.0,14.0,.,164.6,10212.0380859,0.763129293919,876000.0,668.501281738
6614,TEESSIDE LOW CARBON IGCC,TEESSIDE LOW CARBON,PROGRESSIVE ENERGY,450.0,PLN,,CC,CGAS,.,,,,,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,,,Wilton,Northumberland,ENGLAND & WALES,EUROPE,EU,,PROGRESSIVE ENERGY,P,SVCS: PRIV PWR DEV/PROD,1027779,1065223,1196311,,401,500,CGAS+.,.,CC,Planned,,2023.0,,,36.0,34.0,,,,2059.0,2057.88476562,2059.88476562,36.0,.,116.9,7861.12744141,0.417210459709,3942000128.0,1644643.625
6726,MARION IGCC,MARION IGCC,MADISON POWER CORP (WI),500.0,CAN,,CC,CKGAS,.,,,,,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,,,Marion,IL,USA,N AMERICA,RFC,,MADISON POWER CORP (WI),P,SVCS: PRIV PWR DEV/PROD,34343,59591,36489,,401,500,CKGAS+.,.,CC,Cancelled,,1988.0,,,16.0,19.0,,,,2004.0,2007.0,2004.0,16.0,.,116.9,7861.12744141,0.417210459709,4380000256.0,1827381.875
